start_end_date,const_std_error,const_peak_minima,const_peak_maxima,x1_std_error,x1_peak_minima,x1_peak_maxima,x2_std_error,x2_peak_minima,x2_peak_maxima
199703-201702,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.75,0.91
199704-201703,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199705-201704,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199706-201705,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199707-201706,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199708-201707,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199709-201708,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199710-201709,0.12,0.28,0.75,0.03,-0.03,0.07,0.04,0.76,0.92
199711-201710,0.12,0.28,0.75,0.03,-0.03,0.07,0.04,0.76,0.92
199712-201711,0.12,0.28,0.75,0.03,-0.03,0.07,0.04,0.76,0.92
199801-201712,0.12,0.28,0.75,0.03,-0.03,0.07,0.04,0.76,0.92
199802-201801,0.12,0.29,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199803-201802,0.12,0.29,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199804-201803,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.76,0.92
199805-201804,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199806-201805,0.12,0.28,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199807-201806,0.12,0.29,0.76,0.03,-0.03,0.07,0.04,0.76,0.92
199808-201807,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.76,0.91
199809-201808,0.12,0.3,0.77,0.03,-0.03,0.07,0.04,0.76,0.91
199810-201809,0.12,0.3,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199811-201810,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199812-201811,0.12,0.3,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199901-201812,0.12,0.3,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199902-201901,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199903-201902,0.12,0.3,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199904-201903,0.12,0.3,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199905-201904,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199906-201905,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199907-201906,0.12,0.31,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199908-201907,0.12,0.31,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199909-201908,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199910-201909,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199911-201910,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199912-201911,0.12,0.29,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
200001-201912,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.75,0.92
200002-202001,0.12,0.28,0.77,0.03,-0.03,0.07,0.04,0.76,0.92
200003-202002,0.12,0.27,0.76,0.03,-0.04,0.06,0.04,0.76,0.92
200004-202003,0.12,0.26,0.74,0.03,-0.03,0.07,0.04,0.76,0.92
200005-202004,0.12,0.28,0.76,0.03,-0.04,0.07,0.04,0.76,0.92
200006-202005,0.12,0.28,0.76,0.03,-0.04,0.06,0.04,0.76,0.92
200007-202006,0.12,0.28,0.76,0.03,-0.04,0.06,0.04,0.76,0.92
200008-202007,0.12,0.28,0.76,0.03,-0.04,0.06,0.04,0.76,0.92
200009-202008,0.12,0.28,0.76,0.03,-0.04,0.06,0.04,0.76,0.92
200010-202009,0.12,0.28,0.76,0.03,-0.04,0.06,0.04,0.76,0.92
200011-202010,0.12,0.28,0.75,0.03,-0.04,0.06,0.04,0.76,0.92
200012-202011,0.12,0.28,0.75,0.03,-0.04,0.06,0.04,0.76,0.92
200101-202012,0.12,0.28,0.75,0.03,-0.04,0.06,0.04,0.76,0.92
200102-202101,0.12,0.27,0.75,0.03,-0.04,0.06,0.04,0.77,0.93
200103-202102,0.12,0.27,0.75,0.03,-0.04,0.06,0.04,0.77,0.93
200104-202103,0.12,0.26,0.74,0.03,-0.04,0.06,0.04,0.77,0.93
200105-202104,0.12,0.24,0.73,0.03,-0.04,0.07,0.04,0.77,0.93
200106-202105,0.12,0.22,0.71,0.03,-0.04,0.07,0.04,0.78,0.94
200107-202106,0.12,0.22,0.69,0.03,-0.03,0.07,0.04,0.78,0.94
200108-202107,0.12,0.2,0.67,0.03,-0.03,0.08,0.04,0.78,0.94
200109-202108,0.12,0.19,0.66,0.03,-0.03,0.08,0.04,0.79,0.95
200110-202109,0.11,0.21,0.66,0.03,-0.02,0.08,0.04,0.79,0.94
200111-202110,0.11,0.24,0.69,0.03,-0.01,0.09,0.04,0.77,0.93
200112-202111,0.12,0.2,0.66,0.03,-0.01,0.09,0.04,0.78,0.94
200201-202112,0.12,0.2,0.66,0.03,-0.01,0.09,0.04,0.78,0.94
200202-202201,0.12,0.19,0.65,0.03,-0.01,0.09,0.04,0.78,0.94
200203-202202,0.12,0.13,0.61,0.03,0.0,0.11,0.04,0.79,0.95
200204-202203,0.12,0.12,0.59,0.03,0.01,0.11,0.04,0.79,0.96
200205-202204,0.12,0.15,0.61,0.03,0.0,0.11,0.04,0.78,0.95
200206-202205,0.12,0.11,0.57,0.03,0.01,0.11,0.04,0.79,0.96
200207-202206,0.12,0.12,0.57,0.03,0.01,0.11,0.04,0.79,0.95
200208-202207,0.12,0.21,0.68,0.03,0.01,0.11,0.04,0.76,0.93
200209-202208,0.12,0.21,0.68,0.03,0.01,0.11,0.04,0.76,0.93
200210-202209,0.12,0.21,0.68,0.03,0.02,0.12,0.04,0.75,0.93
200211-202210,0.12,0.22,0.69,0.03,0.02,0.12,0.04,0.75,0.92
200212-202211,0.12,0.24,0.71,0.03,0.02,0.12,0.04,0.75,0.92
200301-202212,0.12,0.26,0.74,0.03,0.02,0.12,0.04,0.74,0.91
200302-202301,0.12,0.24,0.72,0.03,0.02,0.12,0.04,0.74,0.92
200303-202302,0.12,0.23,0.71,0.03,0.01,0.12,0.04,0.75,0.92
200304-202303,0.12,0.24,0.72,0.03,0.02,0.12,0.04,0.75,0.92
200305-202304,0.12,0.24,0.73,0.03,0.02,0.12,0.04,0.74,0.92
